dateTime,date,price,open,high,low,volume,change
789098400000,1995-01-03,167.75,166.50,168.30,165.35,3440,-0.65
789184800000,1995-01-04,168.00,168.50,169.80,165.75,4200,0.15
789271200000,1995-01-05,172.55,166.75,173.25,166.35,6640,2.71
789357600000,1995-01-06,174.95,172.00,175.50,170.60,10150,1.39
789616800000,1995-01-09,169.10,174.40,175.50,168.00,5520,-3.34
789703200000,1995-01-10,169.00,167.10,170.80,166.70,5580,-0.06
789789600000,1995-01-11,164.70,171.50,172.00,163.10,8350,-2.54
789876000000,1995-01-12,167.70,165.25,167.90,164.25,4230,1.82
789962400000,1995-01-13,169.80,169.25,170.20,168.20,4010,1.25
790221600000,1995-01-16,168.45,171.00,171.30,166.70,4330,-0.80
790308000000,1995-01-17,170.30,170.00,171.75,169.10,4800,1.10
790394400000,1995-01-18,174.25,169.15,174.50,168.80,6470,2.32
790480800000,1995-01-19,172.35,174.50,175.00,171.50,5150,-1.09
790567200000,1995-01-20,169.85,171.50,176.25,168.45,8560,-1.45
790826400000,1995-01-23,169.55,170.00,171.25,168.80,3330,-0.18
790912800000,1995-01-24,166.60,168.80,170.10,164.50,8660,-1.74
790999200000,1995-01-25,165.40,166.00,167.80,164.80,4930,-0.72
791085600000,1995-01-26,167.00,163.70,168.00,162.90,7610,0.97
791172000000,1995-01-27,161.65,166.50,167.75,161.00,8150,-3.20
791431200000,1995-01-30,157.45,158.40,160.50,154.75,7560,-2.60
791517600000,1995-01-31,155.50,158.25,158.40,154.00,5920,-1.24
791604000000,1995-02-01,155.75,155.35,157.50,154.70,4920,0.16
791690400000,1995-02-02,158.20,155.10,159.00,155.10,5620,1.57
791776800000,1995-02-03,154.35,158.20,159.40,153.20,6160,-2.43
792036000000,1995-02-06,153.90,155.05,155.40,150.75,4950,-0.29
792122400000,1995-02-07,154.00,154.80,155.65,153.60,3090,0.06
792208800000,1995-02-08,156.85,152.70,159.25,152.25,7550,1.85
792295200000,1995-02-09,158.90,157.25,160.00,157.25,5310,1.31
792381600000,1995-02-10,162.75,157.50,163.80,157.25,6100,2.42
792640800000,1995-02-13,162.20,162.50,163.45,161.85,3120,-0.34
792727200000,1995-02-14,164.50,162.50,166.70,162.30,6680,1.42
792813600000,1995-02-15,165.25,165.25,165.75,163.60,4900,0.46
792900000000,1995-02-16,162.85,164.25,166.70,162.00,4290,-1.45
792986400000,1995-02-17,169.35,164.00,169.90,163.15,1590,3.99
793335600000,1995-02-21,170.10,171.35,173.15,169.10,1230,0.44
793422000000,1995-02-22,169.15,169.50,170.00,168.40,490,-0.56
793508400000,1995-02-23,169.65,168.75,172.10,168.50,300,0.30
793594800000,1995-02-24,174.55,171.65,174.70,171.65,140,2.89
793854000000,1995-02-27,184.30,175.00,184.50,175.00,350,5.59
793940400000,1995-02-28,181.00,182.50,183.00,180.55,130,-1.79
794026800000,1995-03-01,186.35,180.00,187.10,179.25,290,2.96
794113200000,1995-03-02,182.05,185.75,187.25,180.50,320,-2.31
794199600000,1995-03-03,179.85,181.50,183.50,179.00,190,-1.21
794458800000,1995-03-06,179.65,180.75,181.50,178.40,230,-0.11
794545200000,1995-03-07,179.65,180.00,181.50,178.50,70,0.00
794631600000,1995-03-08,181.15,181.25,181.25,179.50,40,0.83
794718000000,1995-03-09,183.30,182.50,183.40,182.40,50,1.19
794804400000,1995-03-10,186.35,185.25,187.25,184.00,40,1.66
795063600000,1995-03-13,181.50,185.90,185.75,180.25,60,-2.60
795150000000,1995-03-14,182.70,177.00,182.70,176.00,10,0.66
795236400000,1995-03-15,178.75,179.00,180.00,178.50,40,-2.16
795322800000,1995-03-16,172.00,179.10,178.00,171.75,50,-3.78
795409200000,1995-03-17,168.25,171.00,172.00,167.85,30,-2.18
795668400000,1995-03-20,168.30,168.50,168.40,168.25,30,0.03
795754800000,1995-03-21,165.50,169.00,165.50,165.50,0,-1.66
795841200000,1995-03-22,169.55,171.30,172.20,167.70,5310,2.45
795927600000,1995-03-23,165.65,166.75,168.90,165.35,7360,-2.30
796014000000,1995-03-24,167.60,164.10,168.40,161.60,8160,1.18
796273200000,1995-03-27,167.70,166.60,169.80,166.60,3930,0.06
796359600000,1995-03-28,167.50,166.20,170.50,165.70,6500,-0.12
796446000000,1995-03-29,167.25,166.10,168.30,165.55,3630,-0.15
796532400000,1995-03-30,164.05,168.75,169.70,163.20,6560,-1.91
796618800000,1995-03-31,166.30,164.00,166.50,162.75,4350,1.37
796878000000,1995-04-03,165.45,166.80,167.00,164.60,3310,-0.51
796964400000,1995-04-04,165.10,165.25,166.20,164.25,3460,-0.21
797050800000,1995-04-05,167.45,165.50,168.40,165.50,4990,1.42
797137200000,1995-04-06,166.80,167.50,169.35,166.50,4570,-0.39
797223600000,1995-04-07,167.10,165.90,168.70,165.55,4390,0.18
797482800000,1995-04-10,167.00,166.50,167.70,165.90,2140,-0.06
797569200000,1995-04-11,165.45,167.60,167.75,165.00,4220,-0.93
797655600000,1995-04-12,165.65,164.95,165.80,164.60,3310,0.12
797742000000,1995-04-13,162.65,165.30,165.75,161.50,5780,-1.81
798087600000,1995-04-17,164.30,162.00,165.45,161.55,3920,1.01
798174000000,1995-04-18,165.75,163.50,168.50,163.00,5900,0.88
798260400000,1995-04-19,169.15,166.50,169.50,165.80,6190,2.05
798346800000,1995-04-20,169.20,168.00,172.00,168.00,2090,0.03
798433200000,1995-04-21,172.85,169.20,173.10,169.00,340,2.16
798692400000,1995-04-24,175.05,172.90,175.50,171.35,330,1.27
798778800000,1995-04-25,174.95,175.00,175.25,172.60,460,-0.06
798865200000,1995-04-26,173.65,172.50,174.60,172.20,140,-0.74
798951600000,1995-04-27,171.80,172.75,172.75,171.60,190,-1.07
799038000000,1995-04-28,170.25,171.60,171.80,169.50,350,-0.90
799297200000,1995-05-01,169.50,169.55,170.25,169.50,20,-0.44
799383600000,1995-05-02,167.80,169.00,169.00,167.40,50,-1.00
799470000000,1995-05-03,172.20,168.00,171.25,168.85,40,2.62
